offset_s,channel,target,fade_s,ramp_s,command_id,scenario
0.0,1,128,0.0,0.0,start_center_msb,end_to_end_speed_max
0.0,2,0,0.0,0.0,start_center_lsb,end_to_end_speed_max
0.0,3,255,0.0,0.0,max_run_current,end_to_end_speed_max
0.0,4,160,0.0,0.0,hold_current,end_to_end_speed_max
0.0,5,255,0.0,0.0,max_speed,end_to_end_speed_max
0.0,6,255,0.0,0.0,max_accel,end_to_end_speed_max
0.0,7,255,0.0,0.0,enable_axis,end_to_end_speed_max
1.0,1,0,0.0,0.0,move_low_msb,end_to_end_speed_max
1.0,2,0,0.0,0.0,move_low_lsb,end_to_end_speed_max
18.0,1,255,0.0,0.0,move_high_msb,end_to_end_speed_max
18.0,2,255,0.0,0.0,move_high_lsb,end_to_end_speed_max
