offset_s,channel,target,fade_s,ramp_s,command_id,scenario
0.0,1,128,0.0,0.0,start_center_msb,jump_hold_positions
0.0,2,0,0.0,0.0,start_center_lsb,jump_hold_positions
0.0,3,220,0.0,0.0,setup_run_current,jump_hold_positions
0.0,4,96,0.0,0.0,setup_hold_current,jump_hold_positions
0.0,5,220,0.0,0.0,setup_speed,jump_hold_positions
0.0,6,220,0.0,0.0,setup_accel,jump_hold_positions
0.0,7,255,0.0,0.0,enable_axis,jump_hold_positions
0.2,1,0,0.0,0.0,jump_low_msb,jump_hold_positions
0.2,2,0,0.0,0.0,jump_low_lsb,jump_hold_positions
0.3,1,0,3.0,0.0,hold_low_msb,jump_hold_positions
0.3,2,0,3.0,0.0,hold_low_lsb,jump_hold_positions
3.6,1,255,0.0,0.0,jump_high_msb,jump_hold_positions
3.6,2,255,0.0,0.0,jump_high_lsb,jump_hold_positions
3.7,1,255,3.0,0.0,hold_high_msb,jump_hold_positions
3.7,2,255,3.0,0.0,hold_high_lsb,jump_hold_positions
7.0,1,199,0.0,0.0,jump_mid_high_msb,jump_hold_positions
7.0,2,255,0.0,0.0,jump_mid_high_lsb,jump_hold_positions
7.1,1,199,3.0,0.0,hold_mid_high_msb,jump_hold_positions
7.1,2,255,3.0,0.0,hold_mid_high_lsb,jump_hold_positions
10.4,1,56,0.0,0.0,jump_mid_low_msb,jump_hold_positions
10.4,2,0,0.0,0.0,jump_mid_low_lsb,jump_hold_positions
10.5,1,56,3.0,0.0,hold_mid_low_msb,jump_hold_positions
10.5,2,0,3.0,0.0,hold_mid_low_lsb,jump_hold_positions
13.8,1,128,0.0,0.0,jump_center_msb,jump_hold_positions
13.8,2,0,0.0,0.0,jump_center_lsb,jump_hold_positions
13.9,1,128,3.0,0.0,hold_center_msb,jump_hold_positions
13.9,2,0,3.0,0.0,hold_center_lsb,jump_hold_positions
