offset_s,channel,target,fade_s,ramp_s,command_id,scenario
0.0,1,128,0.0,0.0,start_center_msb,mixed_fades_jumps_speed_accel
0.0,2,0,0.0,0.0,start_center_lsb,mixed_fades_jumps_speed_accel
0.0,3,220,0.0,0.0,setup_run_current,mixed_fades_jumps_speed_accel
0.0,4,96,0.0,0.0,setup_hold_current,mixed_fades_jumps_speed_accel
0.0,5,40,0.0,0.0,setup_speed_low,mixed_fades_jumps_speed_accel
0.0,6,30,0.0,0.0,setup_accel_low,mixed_fades_jumps_speed_accel
0.0,7,255,0.0,0.0,enable_axis,mixed_fades_jumps_speed_accel
0.2,1,128,1.5,0.0,hold_start_center_msb,mixed_fades_jumps_speed_accel
0.2,2,0,1.5,0.0,hold_start_center_lsb,mixed_fades_jumps_speed_accel
1.9,1,24,3.0,0.0,fade_low_msb,mixed_fades_jumps_speed_accel
1.9,2,0,3.0,0.0,fade_low_lsb,mixed_fades_jumps_speed_accel
5.1,1,24,2.0,0.0,hold_low_msb,mixed_fades_jumps_speed_accel
5.1,2,0,2.0,0.0,hold_low_lsb,mixed_fades_jumps_speed_accel
7.4,5,220,0.0,0.0,setup_speed_high,mixed_fades_jumps_speed_accel
7.4,6,220,0.0,0.0,setup_accel_high,mixed_fades_jumps_speed_accel
7.5,1,232,0.0,0.0,jump_high_msb,mixed_fades_jumps_speed_accel
7.5,2,0,0.0,0.0,jump_high_lsb,mixed_fades_jumps_speed_accel
7.6,1,232,2.0,0.0,hold_high_msb,mixed_fades_jumps_speed_accel
7.6,2,0,2.0,0.0,hold_high_lsb,mixed_fades_jumps_speed_accel
9.9,5,110,0.0,0.0,setup_speed_mid,mixed_fades_jumps_speed_accel
9.9,6,120,0.0,0.0,setup_accel_mid,mixed_fades_jumps_speed_accel
10.0,1,128,2.5,0.0,fade_center_msb,mixed_fades_jumps_speed_accel
10.0,2,0,2.5,0.0,fade_center_lsb,mixed_fades_jumps_speed_accel
12.7,1,128,2.0,0.0,hold_center_mid_msb,mixed_fades_jumps_speed_accel
12.7,2,0,2.0,0.0,hold_center_mid_lsb,mixed_fades_jumps_speed_accel
15.0,5,40,0.0,0.0,setup_speed_low_again,mixed_fades_jumps_speed_accel
15.0,6,220,0.0,0.0,setup_accel_high_again,mixed_fades_jumps_speed_accel
15.1,1,80,0.0,0.0,jump_mid_low_msb,mixed_fades_jumps_speed_accel
15.1,2,0,0.0,0.0,jump_mid_low_lsb,mixed_fades_jumps_speed_accel
15.2,1,80,2.0,0.0,hold_mid_low_msb,mixed_fades_jumps_speed_accel
15.2,2,0,2.0,0.0,hold_mid_low_lsb,mixed_fades_jumps_speed_accel
17.5,5,220,0.0,0.0,setup_speed_high_again,mixed_fades_jumps_speed_accel
17.5,6,40,0.0,0.0,setup_accel_low_again,mixed_fades_jumps_speed_accel
17.6,1,176,3.0,0.0,fade_mid_high_msb,mixed_fades_jumps_speed_accel
17.6,2,128,3.0,0.0,fade_mid_high_lsb,mixed_fades_jumps_speed_accel
20.8,1,176,2.0,0.0,hold_mid_high_msb,mixed_fades_jumps_speed_accel
20.8,2,128,2.0,0.0,hold_mid_high_lsb,mixed_fades_jumps_speed_accel
23.1,5,255,0.0,0.0,setup_speed_max,mixed_fades_jumps_speed_accel
23.1,6,255,0.0,0.0,setup_accel_max,mixed_fades_jumps_speed_accel
23.2,1,128,0.0,0.0,jump_final_center_msb,mixed_fades_jumps_speed_accel
23.2,2,0,0.0,0.0,jump_final_center_lsb,mixed_fades_jumps_speed_accel
23.3,1,128,3.0,0.0,hold_final_center_msb,mixed_fades_jumps_speed_accel
23.3,2,0,3.0,0.0,hold_final_center_lsb,mixed_fades_jumps_speed_accel
