offset_s,channel,target,fade_s,ramp_s,command_id,scenario
0.0,1,128,0.0,0.0,start_center_msb,visual_single_speed
0.0,2,0,0.0,0.0,start_center_lsb,visual_single_speed
0.0,5,131,0.0,0.0,speed_high_init,visual_single_speed
0.0,6,255,0.0,0.0,max_accel_init,visual_single_speed
0.0,7,255,0.0,0.0,enable_axis_init,visual_single_speed

1.0,5,131,0.0,0.0,speed_high_low,visual_single_speed
1.0,6,255,0.0,0.0,max_accel_low,visual_single_speed
1.0,7,255,0.0,0.0,enable_axis_low,visual_single_speed
1.0,1,0,0.0,0.0,move_low_msb,visual_single_speed
1.0,2,0,0.0,0.0,move_low_lsb,visual_single_speed

5.0,5,131,0.0,0.0,speed_high_high,visual_single_speed
5.0,6,255,0.0,0.0,max_accel_high,visual_single_speed
5.0,7,255,0.0,0.0,enable_axis_high,visual_single_speed
5.0,1,255,0.0,0.0,move_high_msb,visual_single_speed
5.0,2,255,0.0,0.0,move_high_lsb,visual_single_speed
